"","name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","usersrated","average","avgweight","boardgamehonor","boardgamecategory","description","boardgamefamily"
"11","Civilization West Extension Map",1986,2,7,360,360,12,760,7.82587,3.2361,"['None']","Negotiation","A simple add-on for Civilization and/or Advanced Civilization, this is an additional panel civilizations, as well as allowing all sorts of new expansion strategies (for Africa, in particular). The map supports up to 8 players when using Advanced Civilization or 7 when playing the base Civilization game.","['Civilization']"
"12","Warmachine Prime Mk II",2010,2,4,60,60,12,798,7.8192,3.7049,"['None']","Fantasy","Step into a world forged of iron and tempered by war.  In WARMACHINE, the very earth shakes during fierce confrontations where six-ton constructs of iron and steel slam into each other with the devastating force of a locomotive, where lead-spewing cannons chew through armor plating as easily as flesh, and where bold heroes set the battlefield ablaze with a tempest of arcane magic as they forge the fates of their unyielding nations in the fires of destruction.  WARMACHINE Prime: Mk II is the core rulebook for the second edition of the award-winning tabletop wargame WARMACHINE. The popular game now plays faster, easier, and more aggressively than ever before. Prime Mk II includes the rules for the game; detailed profiles and game stats for powerful characters, warjacks, and soldiers; histories of the nations of the Iron Kingdoms; and an instructional hobby guide that will help bring your tabletop battlefield to life.","['Iron Kingdoms']"
"13","Warmachine Prime Mk II",2010,2,4,60,60,12,798,7.8192,3.7049,"['None']","Miniatures","Step into a world forged of iron and tempered by war.  In WARMACHINE, the very earth shakes during fierce confrontations where six-ton constructs of iron and steel slam into each other with the devastating force of a locomotive, where lead-spewing cannons chew through armor plating as easily as flesh, and where bold heroes set the battlefield ablaze with a tempest of arcane magic as they forge the fates of their unyielding nations in the fires of destruction.  WARMACHINE Prime: Mk II is the core rulebook for the second edition of the award-winning tabletop wargame WARMACHINE. The popular game now plays faster, easier, and more aggressively than ever before. Prime Mk II includes the rules for the game; detailed profiles and game stats for powerful characters, warjacks, and soldiers; histories of the nations of the Iron Kingdoms; and an instructional hobby guide that will help bring your tabletop battlefield to life.","['Iron Kingdoms']"
"14","Warmachine Prime Mk II",2010,2,4,60,60,12,798,7.8192,3.7049,"['None']","Wargame","Step into a world forged of iron and tempered by war.  In WARMACHINE, the very earth shakes during fierce confrontations where six-ton constructs of iron and steel slam into each other with the devastating force of a locomotive, where lead-spewing cannons chew through armor plating as easily as flesh, and where bold heroes set the battlefield ablaze with a tempest of arcane magic as they forge the fates of their unyielding nations in the fires of destruction.  WARMACHINE Prime: Mk II is the core rulebook for the second edition of the award-winning tabletop wargame WARMACHINE. The popular game now plays faster, easier, and more aggressively than ever before. Prime Mk II includes the rules for the game; detailed profiles and game stats for powerful characters, warjacks, and soldiers; histories of the nations of the Iron Kingdoms; and an instructional hobby guide that will help bring your tabletop battlefield to life.","['Iron Kingdoms']"
"15","Kings of War",2012,2,0,60,60,0,250,7.81416,2.5238,"['None']","Book","Kings of War is the miniatures wargame from Mantic Games. Designed to go along with the accompanying 28mm Fantasy Ranges the game features players maneuvering large blocks of miniature soldiers around the battlefield in search of victory.  Kings of War is a new concept for mass battle miniature wargaming &amp;mdash; a game that is both easy to learn and fast to play! With few and simple rules, there is little to get in the way of the fun and slaughter. Kings of War is a challenging game of strategy, where you can pit your wits against your opponent without devoting half of your brain power to remember a plethora of convoluted rules.  And that&amp;rsquo;s not all, the innovative turn structure allows you to play Kings of War using a time-keeping tool (like a stopwatch or a chess clock) to time your moves. As the seconds tick away, the pressure and excitement this adds makes 'Kings of War' unlike any other large-scale wargame you&amp;rsquo;ve ever played before.  Units are given simple ratings such as 'Melee Attack', 'Defense' and 'Nerve' and then augmented with special abilities that characterize the different fantasy races that inhabit the world. In 2015, the &amp;quot;beta&amp;quot; rules were updated and a full ruleset was released. Abbreviated rules are downloadable from Mantic's website, and extracts (about 70%) from the full army lists for all factions are also available for download, called &amp;quot;starter lists&amp;quot;. Currently army lists exist for Elves, Dwarves, Kingdoms of Men (medieval humans), Basileans (clerical army with saints and angels), Forces of Nature (Treemen, Dryads and other assorted forest creatures), Forces of the Abyss (devils and demons), Abyssal (evil) Dwarves, Goblins, Orcs, Ogres, Twilight Kin (evil elves) and the Undead hordes.  Additional factions lists are now available in the &amp;quot;Uncharted Empires&amp;quot; supplement: The Brotherhood (high medieval and mystical humans with elementals), Salamander (humanoid lizards), The Herd (satyrs... ok: beast-men), The League of Rhordia (fantasy renaissance humans and halflings), The Trident Realms of Neritica (tritons/ fishmen), The Empire of Dust (aegyptian undead... yes, kings from tombs), Night-Stalker Armies (spirits, ghosts and the like), Ratkin Armies (ska... er, scavenger ratmen) and the Varangur (chao...tic warriors).","['Kings of War']"
"16","Kings of War",2012,2,0,60,60,0,250,7.81416,2.5238,"['None']","Fantasy","Kings of War is the miniatures wargame from Mantic Games. Designed to go along with the accompanying 28mm Fantasy Ranges the game features players maneuvering large blocks of miniature soldiers around the battlefield in search of victory.  Kings of War is a new concept for mass battle miniature wargaming &amp;mdash; a game that is both easy to learn and fast to play! With few and simple rules, there is little to get in the way of the fun and slaughter. Kings of War is a challenging game of strategy, where you can pit your wits against your opponent without devoting half of your brain power to remember a plethora of convoluted rules.  And that&amp;rsquo;s not all, the innovative turn structure allows you to play Kings of War using a time-keeping tool (like a stopwatch or a chess clock) to time your moves. As the seconds tick away, the pressure and excitement this adds makes 'Kings of War' unlike any other large-scale wargame you&amp;rsquo;ve ever played before.  Units are given simple ratings such as 'Melee Attack', 'Defense' and 'Nerve' and then augmented with special abilities that characterize the different fantasy races that inhabit the world. In 2015, the &amp;quot;beta&amp;quot; rules were updated and a full ruleset was released. Abbreviated rules are downloadable from Mantic's website, and extracts (about 70%) from the full army lists for all factions are also available for download, called &amp;quot;starter lists&amp;quot;. Currently army lists exist for Elves, Dwarves, Kingdoms of Men (medieval humans), Basileans (clerical army with saints and angels), Forces of Nature (Treemen, Dryads and other assorted forest creatures), Forces of the Abyss (devils and demons), Abyssal (evil) Dwarves, Goblins, Orcs, Ogres, Twilight Kin (evil elves) and the Undead hordes.  Additional factions lists are now available in the &amp;quot;Uncharted Empires&amp;quot; supplement: The Brotherhood (high medieval and mystical humans with elementals), Salamander (humanoid lizards), The Herd (satyrs... ok: beast-men), The League of Rhordia (fantasy renaissance humans and halflings), The Trident Realms of Neritica (tritons/ fishmen), The Empire of Dust (aegyptian undead... yes, kings from tombs), Night-Stalker Armies (spirits, ghosts and the like), Ratkin Armies (ska... er, scavenger ratmen) and the Varangur (chao...tic warriors).","['Kings of War']"
"17","Kings of War",2012,2,0,60,60,0,250,7.81416,2.5238,"['None']","Miniatures","Kings of War is the miniatures wargame from Mantic Games. Designed to go along with the accompanying 28mm Fantasy Ranges the game features players maneuvering large blocks of miniature soldiers around the battlefield in search of victory.  Kings of War is a new concept for mass battle miniature wargaming &amp;mdash; a game that is both easy to learn and fast to play! With few and simple rules, there is little to get in the way of the fun and slaughter. Kings of War is a challenging game of strategy, where you can pit your wits against your opponent without devoting half of your brain power to remember a plethora of convoluted rules.  And that&amp;rsquo;s not all, the innovative turn structure allows you to play Kings of War using a time-keeping tool (like a stopwatch or a chess clock) to time your moves. As the seconds tick away, the pressure and excitement this adds makes 'Kings of War' unlike any other large-scale wargame you&amp;rsquo;ve ever played before.  Units are given simple ratings such as 'Melee Attack', 'Defense' and 'Nerve' and then augmented with special abilities that characterize the different fantasy races that inhabit the world. In 2015, the &amp;quot;beta&amp;quot; rules were updated and a full ruleset was released. Abbreviated rules are downloadable from Mantic's website, and extracts (about 70%) from the full army lists for all factions are also available for download, called &amp;quot;starter lists&amp;quot;. Currently army lists exist for Elves, Dwarves, Kingdoms of Men (medieval humans), Basileans (clerical army with saints and angels), Forces of Nature (Treemen, Dryads and other assorted forest creatures), Forces of the Abyss (devils and demons), Abyssal (evil) Dwarves, Goblins, Orcs, Ogres, Twilight Kin (evil elves) and the Undead hordes.  Additional factions lists are now available in the &amp;quot;Uncharted Empires&amp;quot; supplement: The Brotherhood (high medieval and mystical humans with elementals), Salamander (humanoid lizards), The Herd (satyrs... ok: beast-men), The League of Rhordia (fantasy renaissance humans and halflings), The Trident Realms of Neritica (tritons/ fishmen), The Empire of Dust (aegyptian undead... yes, kings from tombs), Night-Stalker Armies (spirits, ghosts and the like), Ratkin Armies (ska... er, scavenger ratmen) and the Varangur (chao...tic warriors).","['Kings of War']"
"18","Kings of War",2012,2,0,60,60,0,250,7.81416,2.5238,"['None']","Wargame","Kings of War is the miniatures wargame from Mantic Games. Designed to go along with the accompanying 28mm Fantasy Ranges the game features players maneuvering large blocks of miniature soldiers around the battlefield in search of victory.  Kings of War is a new concept for mass battle miniature wargaming &amp;mdash; a game that is both easy to learn and fast to play! With few and simple rules, there is little to get in the way of the fun and slaughter. Kings of War is a challenging game of strategy, where you can pit your wits against your opponent without devoting half of your brain power to remember a plethora of convoluted rules.  And that&amp;rsquo;s not all, the innovative turn structure allows you to play Kings of War using a time-keeping tool (like a stopwatch or a chess clock) to time your moves. As the seconds tick away, the pressure and excitement this adds makes 'Kings of War' unlike any other large-scale wargame you&amp;rsquo;ve ever played before.  Units are given simple ratings such as 'Melee Attack', 'Defense' and 'Nerve' and then augmented with special abilities that characterize the different fantasy races that inhabit the world. In 2015, the &amp;quot;beta&amp;quot; rules were updated and a full ruleset was released. Abbreviated rules are downloadable from Mantic's website, and extracts (about 70%) from the full army lists for all factions are also available for download, called &amp;quot;starter lists&amp;quot;. Currently army lists exist for Elves, Dwarves, Kingdoms of Men (medieval humans), Basileans (clerical army with saints and angels), Forces of Nature (Treemen, Dryads and other assorted forest creatures), Forces of the Abyss (devils and demons), Abyssal (evil) Dwarves, Goblins, Orcs, Ogres, Twilight Kin (evil elves) and the Undead hordes.  Additional factions lists are now available in the &amp;quot;Uncharted Empires&amp;quot; supplement: The Brotherhood (high medieval and mystical humans with elementals), Salamander (humanoid lizards), The Herd (satyrs... ok: beast-men), The League of Rhordia (fantasy renaissance humans and halflings), The Trident Realms of Neritica (tritons/ fishmen), The Empire of Dust (aegyptian undead... yes, kings from tombs), Night-Stalker Armies (spirits, ghosts and the like), Ratkin Armies (ska... er, scavenger ratmen) and the Varangur (chao...tic warriors).","['Kings of War']"
"19","Advanced Squad Leader  Starter Kit #1",2004,2,2,120,120,13,2248,7.80407,3.7343,"['2004 Charles S. Roberts Best World War II Boardgame Nominee']","Wargame","(from MMP website and user's description:)  Advanced Squad Leader (ASL) Starter Kit #1 teaches new players the basic concepts of the major Infantry and Terrain rules from Advanced Squad Leader by using an abbreviated and illustrated rulebook.  The ASL Starter Kit #1 is a stand-alone game, with six scenarios that require only the maps and counters provided in the module. The two mapboards that are included also work with both Squad Leader and Advanced Squad Leader, and the scenarios can be played using full Advanced Squad Leader rules if desired.  Contents:          2 8x22 Geomorphic Maps (y and z) for the ASL System         1 full Countersheet of 1/2&amp;quot; counters         6 scenarios printed on 3 individual cardstock sheets         1 Quick Reference Data Chart printed on cardstock sheet         1 12-page rules booklet with plentiful color illustrations         2 dice     Scenario List:          ASL S01 Retaking Vierville         ASL S02 War of the Rats         ASL S03 Simple Equation         ASL S04 Welcome Back         ASL S05 Clearing Colleville         ASL S06 Released from the East     Time Scale: Two minutes per turn Unit Scale: Individual men, half-squads, and squads Players: Two Playing Time: Up to 4 hours per scenario Complexity: Medium Solitaire Suitability: High","['Advanced Squad Leader', 'Advanced Squad Leader Starter Kit']"
"20","Advanced Squad Leader  Starter Kit #1",2004,2,2,120,120,13,2248,7.80407,3.7343,"['2004 Charles S. Roberts Best World War II Boardgame Nominee']","World War II","(from MMP website and user's description:)  Advanced Squad Leader (ASL) Starter Kit #1 teaches new players the basic concepts of the major Infantry and Terrain rules from Advanced Squad Leader by using an abbreviated and illustrated rulebook.  The ASL Starter Kit #1 is a stand-alone game, with six scenarios that require only the maps and counters provided in the module. The two mapboards that are included also work with both Squad Leader and Advanced Squad Leader, and the scenarios can be played using full Advanced Squad Leader rules if desired.  Contents:          2 8x22 Geomorphic Maps (y and z) for the ASL System         1 full Countersheet of 1/2&amp;quot; counters         6 scenarios printed on 3 individual cardstock sheets         1 Quick Reference Data Chart printed on cardstock sheet         1 12-page rules booklet with plentiful color illustrations         2 dice     Scenario List:          ASL S01 Retaking Vierville         ASL S02 War of the Rats         ASL S03 Simple Equation         ASL S04 Welcome Back         ASL S05 Clearing Colleville         ASL S06 Released from the East     Time Scale: Two minutes per turn Unit Scale: Individual men, half-squads, and squads Players: Two Playing Time: Up to 4 hours per scenario Complexity: Medium Solitaire Suitability: High","['Advanced Squad Leader', 'Advanced Squad Leader Starter Kit']"
"21","Tonkin  The First Indochina War (second edition)",2012,2,2,240,1800,0,118,7.78983,3.375,"['None']","Vietnam War","(from Legion wargames website:)  Tonkin is a two player game that covers the crucial period of the French-Indochina War fought between the Viet Minh and France from 1946 -1954.  The game focuses on the intensive years from 1950 - 1954 in  the northern part of Vietnam, called Tonkin, and Laos. It is a game of high interactive play where both players have a set of ten operation points and a number of supply dumps.  By spending operations points you will be able to perform different, mostly non-combat, actions. By expending a supply dump you will also be allowed to perform combat missions. But there will be a limited number of supply dumps to expend and they will also be needed to keep units in supply. When you spend operation points you will only be allowed to spend one, two or three points in a row before it is your opponents turn to spend his.  This creates a game where you, in the long term, will have to plan and save supply and at the same time be prepared to react to your opponent's actions.  In the short term you will be forced you make decisions based upon the number of operation points you have been given to spend in a row and the missions you need to accomplish.  Contents:      22&amp;quot; x 34&amp;quot;  map         352 each .6&amp;quot; Game Counters     24 pages rulebook     4 ea. 8 1/2&amp;quot; x 11&amp;quot; Charts     3 ea. 8 1/2&amp;quot; x 11&amp;quot; Information     5 Scenarios + Campaign Game  Map Scale:    12.5 miles per hex Unit Size:    Regiments / Battalions Time Scale:    1 month per turn","['History: First Indochina war']"
