"","objectid","name","yearpublished","sortindex","minplayers","maxplayers","minplaytime","maxplaytime","minage","min_community","max_community","totalvotes","playerage","languagedependence","usersrated","average","baverage","stddev","avgweight","numweights","numgeeklists","numtrading","numwanting","numcomments","siteviews","numplays","numplays_month","news","blogs","weblink","podcast","label","boardgamedesigner_cnt","boardgameartist_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","boardgamecategory_cnt","boardgamemechanic_cnt","boardgameexpansion_cnt","boardgameversion_cnt","boardgamefamily_cnt","boardgamedesigner","boardgameartist","boardgamepublisher","boardgamehonor","boardgamecategory","boardgameversion","boardgamemechanic","boardgameexpansion","boardgamefamily","description","gamelink"
"139",69278,"Nuklear Winter '68",2012,4046,2,3,60,60,12,"1","3",10,"12",2,203,7.44015,5.74004,1.29545,3.15,20,350,35,76,94,143124,508,0,0,4,3,1,"Board Game",1,1,1,0,4,3,1,2,4,"['Petre Tutunea""']","['Petre Tutunea']","['Lock n Load Publishing']","['None']","['Fantasy', 'Science Fiction', 'Wargame', 'World War II']","['First edition', 'Second edition']","['Chit-Pull System', 'Dice Rolling', 'Hexagon Grid']","['Nuklear Winter 68: Heart Of Darkness']","['History: Alternate History', 'Post-Apocalyptic', 'Solitaire Games', 'Solitaire Wargames']","The former German territory, transformed into a wasteland by the nuclear holocaust that ended the Second World War in 1946, is the hostile setting of a new conflict between old enemies clenched in a struggle for the future of mankind.  Surviving Nazi leaders and Wehrmacht forces resurface in 1968 from underground shelters to rebuild an empire from the ashes of the world. Oblivious of the climatic, technological and political changes inflicted by more than 20 years of nuclear winter, they are about to face the mysterious Black Hand - elusive, abhorrent masters of the wastes, and the combined might of the modern, highly mechanized and versatile NATO alliance.  Units represent platoons of vehicles like T64 or King Tiger tanks, infantry, or helicopters. The platoons are grouped into formations and lead by a commander. The formations are activated by chit draw, and better-trained, better-led units can activate more than once in a turn, moving, shooting, and fighting in each activation. On the flip side of a coin, there is no guarantee that a formation will activate even once.  This game was originally released as the DTP game Nuklear Winter '78.","/boardgame/69278/nuklear-winter-68"
"140",4942,"Formula D\u00e9 Circuits 5 & 6  Kyalami & Ferrari Autodromo",1997,19879,2,10,120,120,12,"N/A","N/A",0,"(no votes)",0,222,7.43951,5.77713,1.08593,1.9524,21,59,13,51,68,23965,193,0,0,0,0,0,"Board Game",2,1,1,0,3,1,0,1,4,"['Laurent Lavaur""', 'Eric Randall""']","['F. Jacquemoud']","['Descartes Editeur']","['None']","['Expansion for Base-game', 'Racing', 'Sports']","['First edition']","['Roll / Spin and Move']","['None']","['Country: San Marino', 'Country: South Africa', 'Formula De/De mini/D', 'Sports: Auto Racing']","Expansion tracks for Formula Dé:       5 - Kyalami Circuit, South Africa     6 - Autodromo Enzo &amp;amp; Dino Ferrari, San Marino   Expands:      Formula Dé","/boardgameexpansion/4942/formula-de-circuits-5-6-kyalami-ferrari-autodromo"
"141",96913,"Lancaster",2011,291,2,5,60,60,10,"4","5",189,"12",1,6281,7.43942,7.08867,1.18635,2.9882,422,1794,249,368,1369,527692,12585,25,4,102,27,11,"Board Game",1,2,1,4,1,5,3,4,2,"['Matthias Cramer""']","['Martin Hoffmann', 'Claus Stephan']","['Queen Games']","['2011 Lys Passionu00e9 Finalist', '2011 Spiel des Jahres Kennerspiel Game of the Year Nominee', '2012 Nederlandse Spellenprijs Nominee', '2012 Nederlandse Spellenprijs Winner']","['Medieval']","['English edition', 'English/French edition', 'German edition', 'Multilingual edition']","['Area Majority / Influence', 'Auction/Bidding', 'Voting', 'Worker Placement', 'Worker Placement']","['Lancaster: Henry V u2013 The Power of the King', 'Lancaster: Reward Tiles', 'Lancaster: The New Laws']","['Country: England', 'Queen Yellow Wave Box Series']","From the designer of Glen More comes a new title published by Queen Games: Lancaster.  In 1413, the new king of England, Henry V of Lancaster, has ambitious plans: The unification of England and the conquest of the French crown! Each player takes the role of an ambitious aristocratic family. Who will be the best supporter of this young king, and the most powerful Lord of his time?  In Lancaster, the players want to proceed from simply being a Lord to being the most powerful ally of the king. They may achieve this by developing their own knighthood, as well as by clever deployment of individual knights in the counties of England, at their own castle, and to conflicts with France. In parliament, they try to push laws from which they will benefit themselves most. The player with the most power points at the end of the game is the winner.  Every turn, players send their knights to the different locations: &amp;bull; Counties, where they compete with knights from other players for rewards and the favor of the nobles. &amp;bull; The castle, to receive income or new knights. &amp;bull; Into conflict with France, where all players combine their power and try to gain power points.  In the counties, the strength of the knights is important, as you can remove the knight of another player by placing a knight of your own with higher strength in the same location.","/boardgame/96913/lancaster"
"142",9209,"Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631",2004,156,2,5,30,60,8,"4","5",819,"8",1,64145,7.43684,7.33204,1.28795,1.8589,4360,10501,821,674,11655,2167237,230862,913,23,707,169,67,"Board Game",1,3,14,23,1,4,147,39,2,"['Alan R. Moon""']","['Cyrille Daujean', 'Cyrille Deaujean', 'Julien Delval']","['Days of Wonder', 'ADC Blackfire Entertainment', 'Bandai', 'Bergsala Enigma', 'Boardgame Space', 'Edge Entertainment']","['2004 International Gamers Awards - General Strategy; Multi-player Nominee', '2004 Japan Boardgame Prize Best Advanced Game Nominee', '2004 Japan Boardgame Prize Best Advanced Game Winner', '2004 Meeples Choice Award', '2004 Nederlandse Spellenprijs Nominee', '2004 Origins Awards Best Board Game Winner']","['Trains']","['15th Anniversary Special Edition', 'Afrikaans / English bilingual edition', 'Chinese edition', 'Dutch edition 2004', 'Dutch edition 2011 with meer dan 1.1 miljoen spellen verkocht!', 'Dutch edition 2016']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']","['Alaska (fan expansion to Ticket to Ride)', 'Alice in Wonderland (fan expansion to Ticket to Ride)', 'Ancient Greece (fan expansion to Ticket to Ride)', 'Ancient Sicily (fan expansion to Ticket to Ride)', 'Antarctica (fan expansion to Ticket to Ride)', 'Antarctica (fan expansion to Ticket to Ride)']","['Country: USA', 'Ticket to Ride']","With elegantly simple gameplay, Ticket to Ride can be learned in under 15 minutes. Players collect cards of various types of train cars they then use to claim railway routes in North America. The longer the routes, the more points they earn. Additional points come to those who fulfill Destination Tickets &amp;ndash; goal cards that connect distant cities; and to the player who builds the longest continuous route.  &amp;quot;The rules are simple enough to write on a train ticket &amp;ndash; each turn you either draw more cards, claim a route, or get additional Destination Tickets,&amp;quot; says Ticket to Ride author, Alan R. Moon. &amp;quot;The tension comes from being forced to balance greed &amp;ndash; adding more cards to your hand, and fear &amp;ndash; losing a critical route to a competitor.&amp;quot;  Ticket to Ride continues in the tradition of Days of Wonder's big format board games featuring high-quality illustrations and components including: an oversize board map of North America, 225 custom-molded train cars, 144 illustrated cards, and wooden scoring markers.  Since its introduction and numerous subsequent awards, Ticket to Ride has become the BoardGameGeek epitome of a &amp;quot;gateway game&amp;quot; -- simple enough to be taught in a few minutes, and with enough action and tension to keep new players involved and in the game for the duration.  Part of the Ticket to Ride series.","/boardgame/9209/ticket-ride"
"143",66986,"MERCS",2010,6264,2,10,120,120,12,"2","4",6,"12",4,101,7.43564,5.61395,1.70762,2.75,12,67,5,11,35,54058,272,0,0,12,1,4,"Board Game",1,1,1,0,3,3,0,1,1,"['Brian Shotton""']","['Keith Lowe']","['MegaCon Games']","['None']","['Miniatures', 'Science Fiction', 'Wargame']","['First edition']","['Dice Rolling', 'Simultaneous Action Selection', 'Variable Player Powers']","['None']","['MERCS']","MERCS is a skirmish game of miniature combat taking place in the future. Games consist of two squads of 5, which have all special equipment and skills. The miniatures act simultanously, using a system of initiative and reaction to determine the exact order of turns.  MERCS uses unique cards as both reference and a means to measure. This streamlined approach means games are faster, with less rule-lawyering, providing a dynamic feel with combat that ebbs and flows. It also means that a game of MERCS is flexible; it can be played just about anywhere with any number of people. All that is needed is 1 fi g, 1 card, and 1d10.  The game board can use 3D terrain, but is equally dynamic with the provided 2D terrain cards.","/boardgame/66986/mercs"
"144",77130,"Sid Meier's Civilization  The Board Game",2010,219,2,4,120,240,13,"4","4",326,"14",4,13748,7.43552,7.20596,1.48441,3.878,1049,3559,713,405,2501,1475436,20182,39,1,92,66,15,"Board Game",1,1,14,10,5,8,3,14,1,"['Kevin Wilson""']","['Henning Ludvigsen']","['Fantasy Flight Games', '(Unknown)', 'ADC Blackfire Entertainment', 'Delta Vision Publishing', 'Edge Entertainment', 'Fantasmagoria']","['2011 Golden Geek Best Board Game Artwork/Presentation Nominee', '2011 Golden Geek Best Strategy Board Game Nominee', '2011 Golden Geek Best Thematic Board Game Nominee', '2011 JoTa Best Heavy Board Game Audience Award', '2011 JoTa Best Heavy Board Game Nominee', '2011 JoTa Best Wargame Nominee']","['City Building', 'Civilization', 'Exploration', 'Negotiation', 'Video Game Theme']","['Bulgarian edition', 'Chinese edition', 'Czech/Slovak edition', 'Edge French edition', 'Edge Spanish edition 2011', 'English first edition']","['Card Drafting', 'Deck', 'Grid Movement', 'Hand Management', 'Modular Board', 'Rock-Paper-Scissors']","['Sid Meiers Civilization: The Board Game u2013 die Griechen Promo Card', 'Sid Meiers Civilization: The Board Game u2013 Fame and Fortune', 'Sid Meiers Civilization: The Board Game u2013 Wisdom and Warfare']","['4X games']","Please note: this entry covers the 2010 release of Sid Meier&amp;rsquo;s Civilization: The Board Game from FFG. This game is unrelated to the similarly named 2002 Eagle Games Sid Meier's Civilization: The Boardgame.  From Press Release:  Before you lies a vast bounty of land, ripe for the plucking. Your meager beginnings will influence the paths you must take. Lead your people well and they will take you to infinite heights of greatness. If civilization manages to endure the ages, your name will hang in every whisper of its legacy...  Fantasy Flight Games is excited to announce the upcoming release of Sid Meier&amp;rsquo;s Civilization: The Board Game! Forge an empire to stand the test of time using innovative game mechanics with multiple paths to victory.  Will you lead the greatest army in the world to conquer your foes? Or will you be the first to journey to the stars, becoming the most technologically advanced civilization known to man? The choice is yours.  Designed by Kevin Wilson, Civilization: The Board Game is inspired by the legendary video game series created by Sid Meier. Players are tasked with guiding an entire civilization throughout the ages, taking ownership of your people&amp;rsquo;s technology, economy, culture, and military, as well as all the choices that go along with them. There are four different paths to victory, and each is riddled with opposition.  In Civilization: The Board Game, 2-4 players take on the roles of famous leaders in charge of historical civilizations, each with their own abilities. Players will be able to explore a module game board, build cities and buildings, fight battles, research powerful technology, and attract great people by advancing their culture. No matter what your play style is, there is a civilization for you!  Fans of Sid Meier&amp;rsquo;s classic video game franchise will find familiar footing in Civilization: The Board Game. Staying true to the foundations of its video game predecessor while creating a new and unique way to play, Civilization: The Board Game captures the spirit and grandeur of carving out a magnificent empire from modest beginnings.  Players start off with a single city, one army figure, and one scout, and from these meager origins you must forge through the ages and become the greatest civilization in the world.  Those unfamiliar with the video game series will find Civilization: The Board Game a great way to enter into the world of Civilization. The strategy and tactical decisions involved in Civilization: The Board Game will appeal to strategy gamers and war gamers alike, and the ability to win through culture and technological advancement will give those who only wish to focus on their own empire a chance at victory as well.","/boardgame/77130/sid-meiers-civilization-board-game"
"145",99630,"Rolling Stock",2011,3708,3,5,240,240,0,"4","5",7,"14",2,219,7.43201,5.77569,1.68041,3.9444,18,199,4,74,110,75568,798,2,0,8,3,4,"Board Game",1,0,2,2,4,3,0,2,0,"['Bj\\u00f6rn Rabenstein""']","['Bju00f6rn Rabenstein']","['(Self-Published)', 'All-Aboard Games']","['2012 Golden Geek Best Print & Play Board Game Nominee', '2013 The Golden Elephant Award Finalist']","['Card Game', 'Economic', 'Print & Play', 'Transportation']","['All-Aboard Games edition', 'Print-and-play edition']","['Auction/Bidding', 'Stock Holding', 'Trading']","['None']","['Rolling Stock Stars']","Rolling Stock is a card game about stock and company trading. Players are investors buying private companies in auctions, which they may later use for an IPO (to turn them into corporations) or sell to already existing corporations (to turn them into subsidiaries of that corporation). The majority share holder of a corporation controls its actions: issuing new shares, paying dividends, and buying more subsidiaries from other corporations, players, or an ominous foreign investor.  The companies are transportation themed, starting with the early Prussian railroad. As more companies are bought, the scope of the game expands to Germany, later Europe, and ultimately even space. With expanding scope, older companies become less and less profitable until they have to be written off eventually, severely hitting the book value of their owner.  As a pure card game, Rolling Stock has no game board to simulate actual transportation. Instead, networking effects are modeled by synergies between geographically adjacent companies that are subsidiaries of the same corporation. This simplistic model merely sets the stage for the trading of stocks and companies, which is the heart and soul of the game.  Rolling Stock is vaguely inspired by the 18xx series of games but it is clearly not a part of it. Obviously, track building is missing entirely, but even the stock market with all its superficial similarities turns out to be fundamentally different.  Compared to the 18xx series, Rolling Stock has extremely simple rules. Strategically, however, it is comparably deep and complex.","/boardgame/99630/rolling-stock"
"146",1347,"Simple GBoH",2000,18573,2,2,90,90,10,"2","2",3,"(no votes)",0,238,7.4313,5.78375,1.47362,2.9032,31,95,28,16,160,73841,216,1,0,1,2,0,"Board Game",2,1,1,0,4,0,1,3,2,"['Richard H. Berg""', 'Mark Herman""']","['Rodger B. MacGowan']","['GMT Games']","['None']","['Ancient', 'Book', 'Expansion for Base-game', 'Wargame']","['First edition', 'Second edition', 'Third edition']","['Ancient', 'Book', 'Expansion for Base-game', 'Wargame']","['Simple GBoH Battle Manual']","['GBOH: Great Battles of Alexander', 'Great Battles of History']","A significant simplification of GMT's popular Great Battles of History series, this is a set of rules that allows you to play scenarios from many of the various GBOH games and their expansion modules. Many of the more fiddly aspects of the system have been dramatically simplified (shock combat, missile combat, orderly withdrawal, elephants, leader activation), or eliminated entirely (rout/rally, individual orders, strategy ratings, momentum, trumping). The rules for SGBOH are the same across all the GBOH settings, so there is no problem moving from game to game. Scenarios also play much faster, from 1-3 hours instead of the old 4 hrs and up. Scenarios provided list approximate playing times as well as balance assessments for all the scenarios (of 53 scenarios, 11 are rated as &amp;quot;even&amp;quot;).  Note that this is not a standalone game; ownership of at least one GBOH title is required.  Games that only require SGBOH rules (have SGBOH scenarios and game-specific rules included) - Chandragupta - Chariots of Fire - Devil's Horsemen - Hoplite  Games requiring SGBOH playbook - Alexander - SPQR - Caesar: The Civil Wars - Caesar: Conquest of Gaul - Cataphract  Games requiring SGBOH battle manual - Many C3i scenarios from above  Games that are not supported by SGBOH - Ran - Samurai - Lion of the North - War Galley - Caesar in Alexandria - but it is very SGBOH-like apparently - Siege of Alesia  Contents:  - Simple Great Battles of History Rules (Nov. 2004 edition has updates for several scenarios) - Simple Great Battles of History Charts - Simple Great Battles of History Playbook containing SGBOH scenarios for Alexander, SPQR, Julius Caesar, Conquest of Gaul and Cataphract.  GMT in March, 2017 released a new Second Edition of Simple GBoH.","/boardgameexpansion/1347/simple-gboh"
"147",81640,"Florenza",2010,1424,2,5,200,200,14,"3","4",34,"14",1,935,7.42505,6.27747,1.36766,3.7419,93,517,64,70,259,139297,1400,8,0,15,14,2,"Board Game",1,4,6,2,4,1,2,3,3,"['Stefano Groppi""']","['Valeria Gobbi', 'Paolo Vallerga', 'Ivan Zoni', 'Daniele Zurla']","['ElfinWerks', 'Golden Egg Games', 'HC Distribuzione', 'Heidelberger Spieleverlag', 'Placentia Games', 'Post  Scriptum']","['2010 Lucca Games Best Publishing Project', '2011 Ludoteca Ideale Official Selection Winner']","['City Building', 'Economic', 'Political', 'Renaissance']","['English second edition', 'Multilingual first edition', 'Multilingual second edition']","['Worker Placement']","['Florenza: Captains of Fortune', 'Florenza: La Musa']","['Cities: Florence (Tuscany', 'Country: Italy', 'Crowdfunding: Kickstarter']","In Florenza, the players are the heads of the most powerful families in Florenza during the Renaissance period. The goal of the game is to become the most famous patron of the arts by hiring the most famous artists of the period and financing their works.  Each player can commission artworks in his own district, the Cathedral, or in the civic buildings of the city. Each artwork requires money and resources to complete. To earn the money and resources the artists need, the players send their workers to labor in various workshops, possibly even in their opponents&amp;rsquo; districts. Additional workers can be earned by offering charity to the church. During the game, players will earn prestige points, primarily by completing artworks. prestige points can be spent during the game, but at the end of the game they will be the player&amp;rsquo;s primary source of victory points.  All of the characters in the game are real historical figures that lived and worked in Italy during the Renaissance. Most of them worked in Florence. All of the buildings in the game were real Renaissance workshops. The artworks the players can complete include the masterpieces of some of the most famous artists in the world.  Note from the designers directly from the rulebook:  &amp;quot;We apologize if we included some characters in the game who never worked in Florence during the Renaissance, but we wanted to include all of the most important artists (in our opinion) from that golden age of Italian art and culture. Michelangelo, for example, left an important mark on the history of the city&amp;mdash;and the Renaissance period&amp;mdash;even if he was only in Florence for a short time. We also added some portraits of military leaders (created by Ivan Zoni) to the rulebook. They are not involved in the game, but they were influential members of public life during this era. The names of the buildings, parts of the Cathedral, and the workshops are in the literal form they had in Italy during the 1400-1600 period. Some of them are unchanged in the modern Italian language, some have changed a little, and others have completely disappeared or remain only in some dialects. We chose to maintain those words, without translating them into a language that the real artists didn&amp;rsquo;t know. We hope you agree with our choice, and we hope you have a good time playing Florenza!&amp;quot;","/boardgame/81640/florenza"
"148",78733,"Key Market",2010,1755,2,4,90,90,12,"2","4",19,"12",2,673,7.4247,6.15192,1.30553,3.5185,81,578,24,284,236,175654,1435,5,1,29,7,1,"Board Game",1,1,1,0,3,8,0,1,2,"['David Brain""']","['Juliet Breese']","['R&D Games']","['None']","['Economic', 'Farming', 'Medieval']","['English/German edition']","['Area Majority / Influence', 'Area Movement', 'Hand Management', 'Market', 'Modular Board', 'Tile Placement']","['None']","['Crowdfunding: Kickstarter', 'Key-series']","Key Market is the sixth game in the Key series of stand-alone games published by R&amp;amp;D Games set in the medieval lands of Keydom, with components in both English and German.  The game is designed by David Brain, who was a playtester on some of the earlier Key games.  The game is the first game published by R&amp;amp;D Games that has not been designed by Richard Breese.  Richard this time takes on the role of developer and the game consequently has the same look and feel as the previous Key games, with artwork again by Juliet Breese plus its own set of ani-/vegi-/arti-meeples.  Each player controls an extended family of workers.  Over the course of two years, players will organise their workers in an attempt to turn their initial scanty resources into a thriving economic system.  After an initial set up phase, the game is played over eight seasons.  Each season has three distinct phases, during which players may take a variety of actions.  The topography, weather, and seasons will influence the ability of workers to produce crops and livestock in the fields and luxuries in the villages.  In addition, resources and luxuries may be bought and sold in the market, or gold and favours sought and acquired.  Other workers may be sponsored to join the powerful guilds, where they will acquire skills as they gain promotion to become craftsmen or even the guild master.  Turn order throughout the game is determined by the player&amp;rsquo;s position on the season track, which changes at the end of each season.  At the end of the game, the player who has acquired the most gold will win the game.  David Brain&amp;rsquo;s designer notes on the box sides conclude by stating that &amp;lsquo;Key Market is a reasonably intricate game.  Some of the strategies that can be employed (particularly the effective use of the market) are not immediately apparent, and some of the Guild combinations do not look so devastating at first glance.  But for those looking for a challenging medieval resource management/economic engine game, here you are.&amp;rsquo;  The game is for two to four players, with a game time of approximately 30 minutes plus 30 minutes per player.  Key Market was released at the Essen Spiel in October 2010 as a limited edition of 900 copies. The game was reprinted in 2019.","/boardgame/78733/key-market"
"149",822,"Carcassonne",2000,161,2,5,30,45,7,"2","5",1868,"8",1,90370,7.42103,7.31407,1.3038,1.921,7104,15269,1533,509,16961,3279816,379638,1536,14,759,196,90,"Board Game",1,4,31,12,3,3,101,91,3,"['Klaus-J\\u00fcrgen Wrede""']","['Doris Matthu00e4us', 'Anne Pu00e4tzke', 'Chris Quilliams', 'Klaus-Ju00fcrgen Wrede']","['Hans im Glu00fcck', '999 Games', 'Albi', 'Bard Centrum Gier', 'Bergsala Enigma', 'Brain Games']","['2001 Spiel des Jahres Winner', '2000 Meeples Choice Award', '2001 Deutscher Spiele Preis Best Family/Adult Game Winner', '2001 International Gamers Awards - General Strategy; Multi-player Nominee', '2001 Nederlandse Spellenprijs Nominee', '2001 Spiel der Spiele Hit mit Freunden Recommended']","['City Building', 'Medieval', 'Territory Building']","['Albi Polish edition 2001', 'Baltic first edition', 'Baltic first edition (with River expansion)', 'Baltic second edition', 'Bard Polish edition 2001', 'Bergsala Enigma Nordic edition 2001']","['Area Majority / Influence', 'Map Addition', 'Tile Placement']","['20 Jahre Darmstadt Spielt', 'Apothecaries And Tithes (fan expansion to Carcassonne)', 'Breweries (fan expansion to Carcassonne)', 'Carcassonne Maps: Benelux', 'Carcassonne Maps: Deutschland', 'Carcassonne Maps: France']","['Carcassonne', 'Country: France', 'Languedoc (France)']","Carcassonne is a tile-placement game in which the players draw and place a tile with a piece of southern French landscape on it. The tile might feature a city, a road, a cloister, grassland or some combination thereof, and it must be placed adjacent to tiles that have already been played, in such a way that cities are connected to cities, roads to roads, etcetera. Having placed a tile, the player can then decide to place one of his meeples on one of the areas on it: on the city as a knight, on the road as a robber, on a cloister as a monk, or on the grass as a farmer. When that area is complete, that meeple scores points for its owner.  During a game of Carcassonne, players are faced with decisions like: &amp;quot;Is it really worth putting my last meeple there?&amp;quot; or &amp;quot;Should I use this tile to expand my city, or should I place it near my opponent instead, giving him a hard time to complete his project and score points?&amp;quot; Since players place only one tile and have the option to place one meeple on it, turns proceed quickly even if it is a game full of options and possibilities.  First game in the Carcassonne series.  				 				 					Beschreibung  Eine mittelalterliche Landschaft mit St&amp;auml;dten und Kl&amp;ouml;stern, Stra&amp;szlig;en und Wiesen. Mit Taktik und ihren Gefolgsleuten (Meeple) dehnen die Spieler in diesem raffinierten Legespiel ihren Einfluss auf die einzelnen Bereiche st&amp;auml;ndig aus. Und das mit wachsender Begeisterung! Carcassonne ist ein Legespiel, bei dem die Spieler verdeckt Landschaftspl&amp;auml;ttchen ziehen und an die bestehende Landschaft passend anlegen m&amp;uuml;ssen. Auf den Pl&amp;auml;ttchen sind St&amp;auml;dte, Stra&amp;szlig;en, Kl&amp;ouml;ster und Grasland in verschiedenen Kombinationen dargestellt. Wenn dann das Pl&amp;auml;ttchen passend angelegt wurde, darf der Spieler entscheiden, ob auf das gerade angelegte Pl&amp;auml;ttchen ein Meeple als Ritter (in Stadt), Wegelagerer (auf Stra&amp;szlig;e), M&amp;ouml;nch (in Kloster) oder Bauer (auf Wiese) eingesetzt werden soll, vor allem wenn es vielleicht gerade der letzte ist...","/boardgame/822/carcassonne"
"150",760,"Battle Line",2000,205,2,2,30,30,12,"2","2",161,"8",2,14718,7.41902,7.23227,1.24795,1.9077,1127,3784,377,476,4473,885357,80777,230,2,163,35,9,"Board Game",1,3,7,0,3,2,0,16,1,"['Reiner Knizia""']","['Roland MacDonald', 'Rodger B. MacGowan', 'Mark Simonitch']","['GMT Games', 'Chrononauts Games', 'Lavka Games', 'NeoTroy Games', 'Rolands Revenge Games', 'Swan Panasia Co.']","['None']","['Ancient', 'Card Game', 'Deduction']","['GMT English fifth edition', 'GMT English first edition', 'GMT English fourth edition', 'GMT English second edition', 'GMT English seventh edition', 'GMT English sixth edition']","['Hand Management', 'Set Collection']","['None']","['Schotten-Totten']","Two opponents face off across a 'battle line' and attempt to win the battle by taking 5 of 9 flags or 3 adjacent flags. Flags are decided by placing cards into 3 card poker-type hands on either side of the flag (similar to straight flush, 3 of a kind, straight, flush, etc). The side with the highest 'formation' of cards wins the flag.  This is a rethemed version of Schotten Totten with different graphics and wooden flag bits in place of the boundary stone cards.  Game play is identical, except the cards run from 1 to 10 (not 9), you hold seven cards in your hand (not 6), and the rule that stones may only be claimed at the start of your turn is presented as an &amp;quot;advanced variant&amp;quot;. Also the tactics cards were introduced by Battle Line; these cards were only added to later editions of Schotten-Totten.  Some have reported that the production quality of the cards is inferior to the Schotten Totten cards, however, for most readers Battle Line will be much easier to find in stores.  In the second edition of GMT's Battle Line the card quality is higher.","/boardgame/760/battle-line"
"151",6928,"Typhoon!",1995,5637,1,4,360,360,0,"2","N/A",5,"12",5,120,7.41208,5.63842,1.43592,4.1304,23,57,23,25,52,39581,41,0,0,0,1,0,"Board Game",1,3,1,1,1,2,0,1,1,"['Vance von Borries""']","['John Kranz', 'Rodger B. MacGowan', 'Joe Youst']","['GMT Games']","['1995 Charles S. Roberts Best World War II Board Game Nominee']","['Wargame']","['First edition']","['Hexagon Grid', 'Simulation']","['None']","['GMT East Front Series']","In the fall of 1941, the German Blitzkrieg was ready for one more final grand effort: the conquest of Moscow. Code-named Typhoon, Germany expected this final offensive to destroy all Soviet armies in front of Moscow in a classic double-envelopment by the Panzer divisions. In short, the Germans expected Typhoon to end the war in the east. Spearheading the German attack was Army Group Center, General Guderian's PanzerArmee, with some 90,000 men in 70 divisions. Facing them, blocking the way to the Soviet seat of power, were over 800,000 Soviet troops in 95 divisions.  The German assault was ferocious and incessant and came within sight of the Moscow Kremlin. Although their attacks ripped gaping holes in the Soviet lines, the defenders did not disintegrate, as the Germans expected. After suffering huge losses in the opening battles, the Soviets reinforced the front line with Siberian and other reserves numbering perhaps 1.2 million men.  The battle for Moscow proved to be one of the decisive battles of the Second World War. Now, you can replay this epic struggle for supremacy in the east. The game's easy-to-play system allows the players to focus on the critical matters of operational maneuver and force coordination, while adding just enough chrome to faithfully recreate the key elements of the campaign. See if you have the skill to crush or save the Soviet Empire in 1941.  COUNTERS 960 full-color two-sided counters.  MAPS Three 22x34&amp;quot; full-color mapsheets  OTHER     One 10-sided die     24-page Rule Book     24-page Play Book     Player Aid Cards: Turn Record Track, &amp;quot;How to Read the Units&amp;quot; Card, Terrain Effects  (from GMT website)","/boardgame/6928/typhoon"
"152",85000,"We Must Tell the Emperor  The Great Pacific War",2010,3645,1,1,60,60,12,"1","1",8,"12",3,251,7.41056,5.78227,1.3457,2.0465,43,227,13,95,116,85441,770,1,0,13,4,1,"Board Game",1,1,2,3,2,5,1,2,3,"['Steve Carey""']","['Tim Allen']","['Kokusai-Tsushin Co.', 'Victory Point Games']","['2010 Charles S. Roberts Best Desktop Published (DTP) / Print-and-Play / Postcard Game Nominee', '2010 Charles S. Roberts Best Desktop Published (DTP) / Print-and-Play / Postcard Game Winner', '2010 Charles S. Roberts Best World War 2 Era Board Wargame Nominee']","['Wargame', 'World War II']","['Command Japan magazine edition', 'Victory Point Games edition']","['Action Points', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement', 'Simulation']","['We Must Tell the Emperor: Expansion Kit']","['Solitaire Games', 'Solitaire Wargames', 'Victory Point Games States of Siege Series']","The Pacific Theater of WWII: 1941 to 1945  States of Siege(TM) #7  We Must Tell the Emperor brings Victory Point Games' unique States of Siege(TM) game series (first introduced in Darin Leviloff's groundbreaking Israeli Independence design) to the grand scope of the Pacific Theater during WWII. As the Military and Political leader of Japan, you must drive the enemy &amp;quot;Fronts"" far away from the Home Islands while also securing enough precious resources to maintain your Empire. If the war cannot be brought to a successful conclusion early on, then the burgeoning Allied strength will unleash a hailstorm of steel upon the player that will require the utmost test of skill, nerve, and luck in order to survive.  As the various headline cards are revealed, you must deal with enemy offensives and constant resource crises. A new addition to the series is the inclusion of a Battle Table where the player has the option try and change the course of history at locations such as The Coral Sea, Midway, Santa Cruz, and Iwo Jima!  The Guadalcanal Campaign is probable - but not assured - and China will play a pivotal role in the conduct of the war. Will you have sufficient Oil to fuel your Army-Navy while propaganda boosts your government's Prestige? Launch Kamikazes, endure marauding Allied submarines, and hope that your Island fortifications can stem the Allied tide. Will you be able to subdue the enemy or hold on till the war's brutal end? Play We Must Tell the Emperor and find out!  Game Data: Complexity: 4 on a 9 scale Solitaire Suitability: 9 on a 9 scale Game Length: 60 minutes Scale: Each unit is one Allied Front, and each turn is a variable number of weeks of real time.  Game Components: &amp;bull;    One 8-page, color Game Rules booklet &amp;bull;    One Battle Table play aid &amp;bull;    12 color, die-cut 3/4"" mounted game pieces &amp;bull;    11 color, die-cut 5/8"" round mounted game pieces &amp;bull;    48 &amp;lsquo;Headline&amp;rsquo; cards &amp;bull;    One 11"" x 17"" color game map &amp;bull;    Includes detailed Example of Play + Designer&amp;rsquo;s Notes &amp;bull;    Polybag packaging and component storage   Japanese edition combines We Must Tell the Emperor and We Must Tell the Emperor expansion kit.","/boardgame/85000/we-must-tell-emperor-great-pacific-war-1941-1945"
